,d,k,l,level,Min,Moves
0,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
1,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
2,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
3,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
4,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
5,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
6,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
7,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
8,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
9,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
10,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
11,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
12,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
13,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
14,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
15,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
16,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
17,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
18,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
19,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
20,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
21,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
22,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
23,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
24,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
25,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
