,d,k,l,level,Min,Moves,CPU Time
0,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.8391528129577637
1,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.7892920970916748
2,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.8094260692596436
3,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.7293078899383545
4,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.7020149230957031
5,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.793672800064087
6,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.7630798816680908
7,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.669334888458252
8,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.6438391208648682
9,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.6607460975646973
10,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.8253931999206543
11,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.7110421657562256
12,4,1,11,1,8,"[(6.0, 'purple'), (4.0, 'green'), (12.0, 'green'), (5.0, 'blue'), (7.0, 'purple'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green')]",1.6990058422088623
