,d,k,l,t,level,Min,Moves,CPU Time
0,4,1,11,11,2,8,"[(15, 'purple'), (12, 'green'), (13, 'green'), (3, 'blue'), (7, 'purple'), (2, 'blue'), (6, 'blue'), (4, 'blue')]",8.704987049102783
1,4,1,11,13,2,8,"[(15, 'purple'), (11, 'purple'), (12, 'green'), (13, 'green'), (15, 'purple'), (6, 'blue'), (7, 'purple'), (4, 'blue')]",12.110350131988525
2,4,1,11,14,2,8,"[(15, 'purple'), (12, 'green'), (6, 'blue'), (4, 'blue'), (13, 'red'), (5, 'red'), (13, 'green'), (7, 'purple')]",12.05450987815857
3,4,1,11,12,2,6,"[(12, 'green'), (15, 'purple'), (6, 'blue'), (4, 'blue'), (13, 'green'), (7, 'purple')]",10.588015794754028
4,4,1,11,19,2,12,"[(3, 'blue'), (15, 'purple'), (14, 'purple'), (2, 'blue'), (12, 'green'), (13, 'green'), (15, 'purple'), (0, 'blue'), (7, 'purple'), (12, 'green'), (13, 'green'), (4, 'blue')]",19.781063556671143
5,4,1,11,17,2,14,"[(15, 'purple'), (3, 'blue'), (12, 'green'), (0, 'yellow'), (7, 'red'), (5, 'red'), (13, 'green'), (7, 'blue'), (6, 'blue'), (7, 'purple'), (1, 'yellow'), (14, 'blue'), (6, 'blue'), (4, 'blue')]",11.396522521972656
6,4,1,11,15,2,12,"[(15, 'purple'), (6, 'blue'), (12, 'green'), (13, 'green'), (11, 'purple'), (15, 'purple'), (9, 'yellow'), (4, 'blue'), (7, 'red'), (5, 'red'), (7, 'purple'), (1, 'yellow')]",9.487438201904297
7,4,1,11,11,2,8,"[(3, 'blue'), (15, 'purple'), (7, 'purple'), (12, 'green'), (2, 'blue'), (0, 'blue'), (13, 'green'), (4, 'blue')]",9.768227815628052
8,4,1,11,14,2,6,"[(15, 'purple'), (12, 'green'), (13, 'green'), (6, 'blue'), (7, 'purple'), (4, 'blue')]",13.902347564697266
9,4,1,11,13,2,6,"[(6, 'blue'), (12, 'green'), (4, 'blue'), (15, 'purple'), (13, 'green'), (7, 'purple')]",13.51112961769104
10,4,1,11,13,2,14,"[(9, 'purple'), (6, 'blue'), (13, 'purple'), (15, 'purple'), (7, 'purple'), (12, 'green'), (4, 'blue'), (13, 'green'), (0, 'yellow'), (1, 'red'), (6, 'purple'), (5, 'red'), (1, 'yellow'), (7, 'purple')]",14.557381391525269
11,4,1,11,12,2,8,"[(12, 'green'), (15, 'purple'), (13, 'green'), (3, 'blue'), (2, 'blue'), (0, 'blue'), (7, 'purple'), (4, 'blue')]",11.363167524337769
12,4,1,11,13,2,8,"[(6, 'blue'), (12, 'green'), (4, 'blue'), (15, 'purple'), (0, 'blue'), (7, 'purple'), (4, 'blue'), (13, 'green')]",13.993459939956665
13,4,1,11,11,2,8,"[(6, 'green'), (4, 'green'), (12, 'green'), (6, 'blue'), (4, 'blue'), (15, 'purple'), (7, 'purple'), (13, 'green')]",10.577909231185913
