,d,k,l,level,Min,Moves
0,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
1,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
2,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
3,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
4,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
5,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
6,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
7,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
8,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
9,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
10,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
11,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
12,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
13,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
14,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
15,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
16,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
17,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
18,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
19,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
20,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
21,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
22,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
23,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
24,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
25,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
26,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
27,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
28,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
29,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
30,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
31,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
32,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
33,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
34,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
35,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
36,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
37,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
38,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
39,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
40,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
41,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
42,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
43,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
44,4,1,11,0,8,"[(0.0, 'yellow'), (12.0, 'green'), (4.0, 'blue'), (5.0, 'red'), (1.0, 'yellow'), (15.0, 'purple'), (13.0, 'green'), (7.0, 'purple')]"
