,d,k,l,level,Min,Moves,CPU Time
0,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.724245071411133
1,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.42426609992981
2,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",9.423660039901733
3,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.839332103729248
4,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.156085968017578
5,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.9928719997406
6,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.983175992965698
7,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.191876888275146
8,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",9.467092037200928
9,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.9291980266571045
10,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.149334192276001
11,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.945523023605347
12,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.675579786300659
13,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.018565893173218
14,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",9.321528196334839
15,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.991584300994873
16,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.31384015083313
17,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.978132009506226
18,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.5908331871032715
19,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.320483922958374
20,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",9.162443161010742
21,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.9389519691467285
22,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.448084115982056
23,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.993973970413208
24,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.663038969039917
25,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.23305082321167
26,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.784646987915039
27,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.615810871124268
28,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.055056810379028
29,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",9.167194128036499
30,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.08379578590393
31,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.580443859100342
32,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.944514989852905
33,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.092849969863892
34,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.297438144683838
35,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",7.668484926223755
36,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.095631837844849
37,4,2,11,3,7,"[(12.0, 'green'), (3.0, 'purple'), (1.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (13.0, 'green'), (7.0, 'purple')]",8.16652798652649
