,d,k,l,level,Min,Moves
0,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
1,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
2,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
3,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
4,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
5,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
6,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
7,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
8,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
9,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
10,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
11,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
