,d,k,l,level,Min,Moves,CPU Time
0,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.095204830169678
1,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.760064125061035
2,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.163819074630737
3,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.10630774497986
4,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.905930042266846
5,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.23196291923523
6,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.345404863357544
7,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.922491788864136
8,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.099590063095093
9,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.37425184249878
10,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.013216018676758
11,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.17626118659973
12,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.403183698654175
13,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.613662004470825
14,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.324271202087402
15,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.268004655838013
16,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.4774751663208
17,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.22839379310608
18,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.310872077941895
19,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.041481018066406
20,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.217899799346924
21,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.94499921798706
22,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.28705382347107
23,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.14922595024109
24,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.44850778579712
25,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.180145978927612
26,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.89098310470581
27,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.32397699356079
28,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.07807993888855
29,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.108827114105225
30,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.44114589691162
31,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.061721086502075
32,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.196958780288696
33,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.462119817733765
34,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.234999895095825
35,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.241692066192627
36,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.237818002700806
37,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.280362844467163
38,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.152942180633545
39,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.607949018478394
40,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.980113983154297
41,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.049644947052002
42,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.20950198173523
43,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.153326749801636
44,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.44732117652893
45,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.50660800933838
46,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.477248191833496
47,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.15050506591797
48,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.865579843521118
49,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.827142000198364
50,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.142723083496094
51,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.324797868728638
52,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.44570779800415
53,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.014561891555786
54,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.50014591217041
55,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.754451990127563
56,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.816234111785889
57,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",17.940605878829956
58,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.27190613746643
59,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.098947286605835
60,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.33373785018921
61,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.098281860351562
62,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.512877225875854
63,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.722739219665527
64,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",15.619598150253296
65,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.161068201065063
66,4,3,11,0,8,"[(12.0, 'green'), (14.0, 'purple'), (8.0, 'yellow'), (4.0, 'blue'), (5.0, 'red'), (7.0, 'purple'), (1.0, 'yellow'), (13.0, 'green')]",16.123640060424805
