,d,k,l,level,Min,Moves,CPU Time
0,4,3,11,4,22,[],196.89480209350586
1,4,3,11,4,37,[],120.11001420021057
2,4,3,11,4,49,[],143.9307734966278
3,4,3,11,4,22,[],128.0934293270111
4,4,3,11,4,47,[],111.5429584980011
5,4,3,11,4,54,[],197.5671684741974
6,4,3,11,4,22,[],94.73326110839844
7,4,3,11,4,48,[],162.77620697021484
8,4,3,11,4,29,[],147.24999618530273
9,4,3,11,4,32,[],163.18306231498718
10,4,3,11,4,62,[],198.09478950500488
11,4,3,11,4,38,[],166.410085439682
12,4,3,11,4,34,[],253.75510120391846
13,4,3,11,4,57,[],246.91518926620483
14,4,3,11,4,44,[],176.91966938972473
15,4,3,11,4,26,[],95.03300499916077
16,4,3,11,4,17,[],42.47805619239807
17,4,3,11,4,23,[],204.71710586547852
18,4,3,11,4,33,[],119.81772208213806
19,4,3,11,4,15,[],87.65648317337036
20,4,3,11,4,14,[],62.684741258621216
21,4,3,11,4,69,[],231.15364408493042
22,4,3,11,4,49,[],133.87613821029663
23,4,3,11,4,30,[],170.34163856506348
24,4,3,11,4,40,[],208.82849168777466
25,4,3,11,4,51,[],84.75973129272461
26,4,3,11,4,40,[],170.22854351997375
27,4,3,11,4,32,[],70.84272575378418
28,4,3,11,4,21,[],113.01486039161682
29,4,3,11,4,55,[],204.86146211624146
30,4,3,11,4,30,[],89.82838797569275
31,4,3,11,4,37,[],119.1762306690216
32,4,3,11,4,51,[],137.43433284759521
33,4,3,11,4,70,[],133.8500678539276
34,4,3,11,4,43,[],204.6347622871399
35,4,3,11,4,33,[],78.6125910282135
36,4,3,11,4,54,[],168.23377537727356
37,4,3,11,4,31,[],116.96385717391968
38,4,3,11,4,63,[],155.38352608680725
39,4,3,11,4,58,[],158.70420169830322
40,4,3,11,4,30,[],143.5734989643097
41,4,3,11,4,26,[],149.42331314086914
42,4,3,11,4,38,[],143.80651712417603
43,4,3,11,4,22,[],77.66300201416016
44,4,3,11,4,58,[],165.92038321495056
45,4,3,11,4,48,[],125.06887149810791
46,4,3,11,4,27,[],64.87287068367004
47,4,3,11,4,32,[],120.12778234481812
48,4,3,11,4,25,[],56.78502345085144
49,4,3,11,4,49,[],129.44378113746643
50,4,3,11,4,59,[],138.61802339553833
51,4,3,11,4,20,[],61.66518211364746
52,4,3,11,4,60,[],190.97165155410767
53,4,3,11,4,23,[],62.35881304740906
54,4,3,11,4,46,[],143.68839931488037
55,4,3,11,4,41,[],94.05236864089966
56,4,3,11,4,36,[],123.3084671497345
57,4,3,11,4,50,[],107.44673156738281
58,4,3,11,4,14,[],97.313796043396
59,4,3,11,4,40,[],131.93206763267517
60,4,3,11,4,26,[],135.10509848594666
61,4,3,11,4,29,[],95.35017561912537
62,4,3,11,4,30,[],88.44302701950073
63,4,3,11,4,44,[],103.59043836593628
64,4,3,11,4,18,[],165.05939412117004
65,4,3,11,4,58,[],144.41709327697754
66,4,3,11,4,38,[],89.9342873096466
67,4,3,11,4,43,[],220.7504894733429
68,4,3,11,4,47,[],128.0584433078766
69,4,3,11,4,42,[],108.03087449073792
70,4,3,11,4,57,[],155.4977924823761
71,4,3,11,4,59,[],183.65248274803162
72,4,3,11,4,47,[],194.32697010040283
73,4,3,11,4,50,[],224.3745617866516
74,4,3,11,4,60,[],122.02012276649475
75,4,3,11,4,33,[],243.97641158103943
76,4,3,11,4,53,[],188.45708203315735
77,4,3,11,4,45,[],117.73752951622009
78,4,3,11,4,58,[],143.09701085090637
79,4,3,11,4,44,[],156.6208257675171
80,4,3,11,4,20,[],70.11607027053833
81,4,3,11,4,19,[],123.79173922538757
82,4,3,11,4,34,[],58.8835175037384
83,4,3,11,4,56,[],189.6392366886139
84,4,3,11,4,40,[],87.8470025062561
85,4,3,11,4,17,[],178.52951502799988
86,4,3,11,4,27,[],92.68921303749084
87,4,3,11,4,60,[],154.55216360092163
